source_file,uw_notes_text
RS_acme_industrial_2026,"UNDERWRITER COMMENTARY
Acme Industrial -- metalworking and assembly, 3 facilities in OH/PA. TIV $45M. Main plant is non-combustible but Building 3 (warehouse, 1978) is joisted masonry and NOT sprinklered -- this is the key risk.

Two claims in 5 years: $85K electrical fire in the shop (2024, caught early by night watchman) and $200K water main burst (2023, inventory loss). Technical rate $6.50/thousand, broker pushing for $5.50. Deviation of 15.4% exceeds my Level 2 authority. Referred to Simon.

Comparable: Timber Creek Manufacturing (2024) bound at $5.80 with similar profile but fully sprinklered. The unsprinklered warehouse is the sticking point. If Willis agrees to $5.50 with a $50K deductible increase and sprinkler installation warranty within 18 months, I'd recommend binding. Simon approved with sprinkler warranty condition."
RS_apex_precision_2025,"UNDERWRITER COMMENTARY
Apex Precision -- single facility CNC machining operation in Birmingham. TIV GBP 17.5M (approx $22M). Non-combustible portal frame construction (2012), fully sprinklered. Manufactures precision aerospace components -- high-value stock but well-protected.

Light manufacturing with CNC equipment is a well-understood risk. Metal cutting generates swarf but Apex has proper extraction and coolant systems. No flammable liquids in significant quantities.

Zero claims in 5 years on our book. Technical rate GBP 3.80/thousand, binding at GBP 3.60. Deviation is minimal and justified by loss record.

Miller Insurance placed this, Lucy Ward. Bind at GBP 63K ($79K). Simple risk, steady premium. This is the kind of UK manufacturing account we want to build the book around."
RS_arctic_cold_2025,"UNDERWRITER COMMENTARY
Arctic Cold Chain -- 3 temperature-controlled warehouse/distribution facilities in MD and VA. TIV $40M. Cold storage is a specialty class that requires careful underwriting due to ammonia refrigeration systems and high stock values.

All three facilities use ammonia-based systems with proper PSM (Process Safety Management) programmes. EPA RMP-compliant. Backup diesel generators at all locations for power failure contingency. Stock values fluctuate seasonally -- peak at $12M in Q4.

One claim: $88K ammonia leak/cleanup (2023). No injuries, proper containment worked. Loss ratio 14%. Technical rate $5.40/thousand, binding at $5.20.

Willis account, Emily Watson. Quarterly stock reporting endorsed. Ammonia leak detection system warranty required. Bind at $208K."
RS_atlantic_seafood_2026,"UNDERWRITER COMMENTARY
Atlantic Seafood renewal -- this is the one with the major refrigeration loss. TIV $50M across 4 processing plants in coastal MA. The $2.1M refrigeration system failure last year is the elephant in the room -- complete cold storage inventory loss ($1.8M) plus equipment replacement and BI. Still $150K reserved.

Prior to that loss, account was clean. The loss was a mechanical failure, not a coverage or maintenance issue -- their equipment was maintained per manufacturer spec, just a catastrophic compressor failure that cascaded. But it moved the 5-year loss ratio to 58%.

Technical rate is $7.00/thousand but I'm pricing at $7.50 -- ABOVE technical by 7% -- to account for the frequency risk in food processing and the recency of the large loss. Premium $375K. BMS Group (Andrew Patel) understands -- they expected a rate increase.

We've required a backup refrigeration system warranty and quarterly maintenance certification. If they have another large loss, we non-renew. This is a well-run operation that had bad luck."
RS_bayou_chemical_2024,"UNDERWRITER COMMENTARY
Bayou Chemical -- 2 chemical processing plants in LA (Baton Rouge, Lake Charles). TIV $75M. DECLINE.

Chemical processing is inherently high-hazard and these facilities handle Class 1 flammable liquids. The Baton Rouge plant processes ethylene derivatives -- HPO (highly protected occupancy) standards are not met. No FM Global certification, no IRI inspection in 3+ years.

Lake Charles is squarely in the wind corridor -- CAT load is punishing. Combined with the chemical hazard, the risk profile exceeds our appetite at any price point.

Two claims: $450K process vessel fire (2023) and $220K hurricane Laura residual damage (still developing from 2020). 5-year loss ratio 56%.

BMS Group (Marcus Wright) understands -- this needs a specialist chemical facility market, not a commercial property generalist. Decline."
RS_blackwood_timber_2024,"UNDERWRITER COMMENTARY
Blackwood Timber -- 2 sawmill and timber processing facilities in the Scottish Highlands. TIV GBP 12M (approx $15M). DECLINE.

Sawmill operations in heavy timber construction -- the building IS the fuel. Massive dust generation, kilns operating at 70C+, and limited fire service response (nearest station 22 minutes). One facility has basic detection only, no suppression of any kind.

Loss history: GBP 400K kiln fire (2022) and GBP 150K dust explosion (2023). Combined loss ratio 220%. This is a risk profile we simply cannot accommodate.

The remote location compounds every other issue. If there's a fire, it will be a total loss before the fire service arrives. Miller Insurance (Ben Archer) brought this -- I've explained that sawmill in remote Scotland with this loss record is outside our appetite entirely."
RS_bluestone_warehouse_2025,"UNDERWRITER COMMENTARY
Bluestone Warehousing -- 4 distribution centres in Manchester and Liverpool area. TIV GBP 28M (approx $35M). NTU.

Standard warehousing risk, non-combustible, sprinklered. We quoted GBP 3.20/thousand (GBP 89.6K). Broker came back saying Aviva offered GBP 2.60/thousand on a 2-year LTA.

Can't compete with Aviva on a 2-year LTA at that rate. GBP 2.60 is below our technical for warehousing in the North West, even with clean experience.

Miller Insurance (Charlotte Webb) says she'll bring this back if Aviva corrects at renewal. Not unexpected -- Aviva is aggressive on UK warehouse currently."
RS_brighton_health_2025,"UNDERWRITER COMMENTARY
Brighton Health System -- 8 hospital and outpatient facilities across NJ and eastern PA. TIV $150M. All fire resistive, fully sprinklered with redundant fire suppression in surgical suites and data rooms. Healthcare is an occupancy we understand well.

Clean loss history: one $95K water damage claim (burst pipe in radiology wing, 2023). 5-year loss ratio is 8%. Technical rate $3.20/thousand, quoting at $3.00 -- 6.25% deviation justified by the excellent loss experience and the fact that Aon is bringing us their broader healthcare portfolio.

Equipment breakdown coverage is critical here -- medical imaging equipment values alone are $18M. We've attached EQ sub-limit of $15M which is appropriate for the region. BI waiting period of 24 hours is standard.

Bind at $450K. Paul Henderson at Aon has been responsive throughout. Good account for the book."
RS_cardinal_health_2024,"UNDERWRITER COMMENTARY
Cardinal Healthcare -- 5 hospital facilities in GA and FL. TIV $95M. NTU -- insured moved to a group captive programme.

We quoted at $3.40/thousand ($323K). Competitive quote, within technical. The insured was satisfied with our terms but their parent company made a strategic decision to move all healthcare properties into a shared captive.

This was not a pricing issue -- BMS Group (Samantha Lee) confirmed our quote was the most competitive of the 4 markets approached. Corporate decision overrode the local insurance buyer.

Good risk that we'd have been happy to write. If the captive arrangement doesn't work out, we're first call. NTU."
RS_cascade_tech_2026,"UNDERWRITER COMMENTARY
Exceptional risk quality. Cascade Technology Campus -- 2 data centres in Seattle metro, TIV $180M. State-of-the-art facilities: fire resistive steel/concrete, 2019-2020 build, N+1 redundancy on all critical systems, FM Global-approved fire suppression (clean agent + pre-action sprinklers), 24/7 onsite security and monitoring. No loss history.

Low natural hazard exposure -- Seattle is minimal wind, moderate seismic but building is base-isolated. Quoting at $3.50/thousand vs technical $3.80. The below-technical rate is justified: this is arguably the best-protected property class we underwrite.

Similar to Quantum Data Systems (2024) bound at $3.60 and Richmond Data Centres (2025) at $3.40. Gallagher has 4 more data centre accounts they want to place with us if we perform well here. Strategic account. Rachel Foster is excellent to work with.

Recommend bind at $630K. Fac placed for excess layer above $25M net."
