promised_line_id,submission_id,submission_date,insured_name,broker_name,broker_contact,coverage_type,effective_date,expiry_date,total_insured_value,limit_requested,deductible,lead_follow,our_line_pct,our_premium,technical_premium,rate_per_million,deviation_from_technical_pct,decision,decision_date,decision_reason,underwriter_name,authority_level,referral_required,decline_reason,ntu_reason,bound_premium,bound_date,renewal_of,fac_reinsurance_purchased,fac_premium,number_of_locations,primary_state,occupancy_class
PL-01000,SUB-2026-0001,2026-05-12,Pacific Retail Group,Aon plc,Sarah Chen,Commercial Property,2026-07-01,2027-07-01,120000000,25000000,120000,Lead,100,504000,540000,4.2,-6.7,Bound,2026-05-20,,Simon Button,SVP,False,,,504000,2026-05-20,,True,75600,47,GA,Retail - Shopping Centre
PL-01001,SUB-2026-0002,2026-05-02,Acme Industrial Holdings,Willis Towers Watson,David Armstrong,Commercial Property,2026-06-01,2027-06-01,45000000,25000000,45000,Lead,100,247500,292500,5.5,-15.4,Bound,2026-05-15,,Claire Hemsworth,Senior UW,True,,,247500,2026-05-15,,False,0,3,OH,Manufacturing - Heavy
PL-01002,SUB-2026-0003,2026-02-23,Northern Manufacturing,Marsh McLennan,James Whitfield,Commercial Property,2026-04-01,2027-04-01,28000000,25000000,28000,Lead,100,123200,123200,4.4,0.0,Bound,2026-03-07,,Robert Tanner,Senior UW,False,,,123200,2026-03-07,,False,0,1,PA,Manufacturing - Light
PL-01003,SUB-2026-0004,2026-06-28,Heritage Hotels International,Lockton Companies,Emily Hartwell,Commercial Property,2026-08-01,2027-08-01,200000000,25000000,200000,Lead,100,0,1700000,0,-100.0,Declined,2026-07-06,Excessive CAT exposure - coastal concentration,Simon Button,SVP,True,Excessive CAT exposure - aggregate PML exceeds tolerance,,0,,,False,0,12,FL,Hospitality - Hotel
PL-01004,SUB-2026-0005,2026-03-11,Western Distribution,Howden Group,Michael Cross,Commercial Property,2026-05-01,2027-05-01,65000000,25000000,65000,Lead,100,390000,377000,6.0,3.4,Bound,2026-03-18,,Claire Hemsworth,Senior UW,False,,,390000,2026-03-18,,False,0,8,CO,Warehouse - Distribution
PL-01005,SUB-2026-0006,2026-07-15,Cascade Technology Campus,Gallagher,Rachel Foster,Commercial Property,2026-09-01,2027-09-01,180000000,25000000,180000,Lead,100,630000,684000,3.5,-7.9,Bound,2026-08-02,,Simon Button,SVP,False,,,630000,2026-08-02,,True,94500,2,WA,Technology - Data Centre
PL-01006,SUB-2026-0007,2026-05-31,Gulf Coast Energy Storage,McGill and Partners,Thomas Keane,Commercial Property,2026-07-01,2027-07-01,95000000,25000000,95000,Lead,100,712500,760000,7.5,-6.3,Referred,2026-06-05,Referred to SVP - energy sector risk above authority,Simon Button,SVP,False,,,0,,,False,0,5,TX,Energy - Storage
PL-01007,SUB-2026-0008,2026-04-30,Midwest Agricultural Coop,Miller Insurance,Charlotte Webb,Commercial Property,2026-06-01,2027-06-01,35000000,25000000,35000,Lead,100,210000,217000,6.0,-3.2,Bound,2026-05-11,,Priya Nair,UW,False,,,210000,2026-05-11,,False,0,22,MN,Agricultural - Storage
PL-01008,SUB-2026-0009,2026-01-23,Atlantic Seafood Processing,BMS Group,Andrew Patel,Commercial Property,2026-03-01,2027-03-01,50000000,25000000,50000,Lead,100,375000,350000,7.5,7.1,Bound,2026-01-28,,Robert Tanner,Senior UW,False,,,375000,2026-01-28,,False,0,4,MA,Food Processing
PL-01009,SUB-2026-0010,2026-08-15,Summit Office Partners,Ed Broking,Laura Simpson,Commercial Property,2026-10-01,2027-10-01,75000000,25000000,75000,Follow,25,187500,210000,2.5,-10.7,Bound,2026-08-26,,James Whitlock,UW,True,,,187500,2026-08-26,,False,0,6,NY,Office - Class A
