claim_id,policy_id,promised_line_id,insured_name,loss_date,report_date,close_date,claim_status,loss_type,loss_description,location_state,paid_amount,reserved_amount,total_incurred,deductible_applied,recovery_amount,net_incurred,cause_of_loss,cat_event_flag,cat_event_name,large_loss_flag
CLM-000001,POL-0001-2026,PL-01000,Pacific Retail Grp,2026-03-03,2026-03-05,2027-02-11,Closed,Fire,"Kitchen fire in food court unit, contained by sprinkler system. Minimal damage to adjacent units.",GA,125000,0,125000,120000,5476,122500,Fire,False,,False
CLM-000002,POL-0002-2026,PL-01001,ACME INDUSTRIAL,2025-11-13,2025-11-15,2026-06-26,Closed,Fire,"Electrical fire in metalworking shop, caught early by night watchman. Equipment damage only.",OH,85000,0,85000,45000,760,83300,Fire,False,,False
CLM-000003,POL-0002-2026,PL-01001,Acme Industrial Holdings,2025-03-08,2025-03-14,2025-04-12,Closed,Water Damage,Burst water main caused flooding in warehouse section. Inventory and flooring damage.,OH,200000,0,200000,45000,4420,196000,Water Damage,False,,False
CLM-000004,POL-0005-2026,PL-01004,Western Distribution,2026-01-31,2026-02-05,2026-06-09,Closed,Fire,Forklift battery charging station fire. Building damage and 3 forklifts destroyed.,CO,180000,0,180000,65000,5275,176400,Fire,False,,False
CLM-000005,POL-0005-2026,PL-01004,WESTERN DISTRIBUTION CORP,2025-07-25,2025-07-28,2025-10-11,Closed,Collapse,Roof section collapse from accumulated snow load. Racking and stored goods damaged.,CO,95000,0,95000,65000,4350,93100,Collapse,False,,False
CLM-000006,POL-0005-2026,PL-01004,Western Dist Corp,2025-03-27,2025-04-01,2025-05-02,Closed,Theft/Vandalism,Break-in at distribution hub. Electronics and high-value goods stolen.,CO,42000,0,42000,65000,573,41160,Theft/Vandalism,False,,False
CLM-000007,POL-0005-2026,PL-01004,Western Dist Corp,2024-10-28,2024-11-03,2025-04-16,Closed,Water Damage,HVAC condensation leak damaged office area and server room.,CO,35000,0,35000,65000,837,34300,Water Damage,False,,False
CLM-000008,POL-0007-2026,PL-01006,Gulf Coast Energy Stg,2025-07-01,2025-07-02,,Open,Wind/Hurricane,Tropical Storm damage to storage facility roofing and external piping. Partial operational shutdown.,TX,145000,25000,170000,95000,5105,167100,Wind/Hurricane,True,Tropical Storm,False
CLM-000009,POL-0008-2026,PL-01007,Midwest Agricultural Coop,2026-01-02,2026-01-05,2026-12-18,Closed,Hail,Severe hail damaged metal roofing on 4 grain storage buildings.,MN,78000,0,78000,35000,3787,76440,Hail,False,,False
CLM-000010,POL-0008-2026,PL-01007,Midwest Agri Cooperative,2025-07-16,2025-07-23,2025-08-30,Closed,Lightning,"Lightning strike caused electrical surge, damaged grain drying equipment.",MN,45000,0,45000,35000,2087,44100,Lightning,False,,False
CLM-000011,POL-0008-2026,PL-01007,MIDWEST AG COOP,2025-01-17,2025-01-22,2026-01-05,Closed,Wind/Hurricane,Straight-line winds damaged siding on 2 outbuildings.,MN,32000,0,32000,35000,784,31360,Wind/Hurricane,True,Tropical Storm,False
CLM-000012,POL-0009-2026,PL-01008,Atlantic Seafood,2025-09-02,2025-09-06,,Open,Equipment Breakdown,Catastrophic refrigeration system failure. Complete loss of cold storage inventory ($1.8M) plus equipment replacement and BI.,MA,2100000,150000,2250000,50000,91868,2208000,Equipment Breakdown,False,,True
CLM-000013,POL-0009-2026,PL-01008,Atlantic Seafood Processing,2025-01-25,2025-02-01,2025-11-30,Closed,Water Damage,"Processing floor drain backup, contamination of production area.",MA,65000,0,65000,50000,124,63700,Water Damage,False,,False
CLM-000014,POL-0009-2026,PL-01008,Atlantic Seafood,2024-07-09,2024-07-10,2025-06-17,Closed,Fire,"Small grease fire in smoking facility, contained quickly.",MA,28000,0,28000,50000,214,27440,Fire,False,,False
CLM-000015,POL-0010-2026,PL-01009,Summit Office Partners,2026-01-24,2026-01-30,2026-05-24,Closed,Water Damage,Pipe burst on 14th floor during weekend. Water damage to 3 floors of office space.,NY,38000,0,38000,75000,157,37240,Water Damage,False,,False
CLM-000016,POL-01115,PL-01115,Norfolk Agricultural Holdings,2024-01-20,2024-01-25,,Open,Fire,Cooking fire spread to adjacent area,TN,694728,20315,715043,25000,21328,715043,Fire,False,,True
