"Location Number","Location Name","Street Address","City","State/Country","ZIP/Postal Code","Building Description","Occupancy Type","Construction Type","Year Built","Number of Stories","Square Footage","Sprinkler System (Y/N)","Sprinkler Type","Fire Alarm (Central/Local/None)","Security System (Y/N)","Roof Type","Roof Age","Building Value","Contents Value","Business Interruption Value","Total Insured Value","Flood Zone (A/B/C/X)","Wind Tier (1/2/3/4)","Earthquake Zone (1-5)","Distance to Coast (miles)","Distance to Fire Station (miles)","Alarm System","BI Value","Building Cost","Contents Cost","Fire Protection","Protection Type","Replacement Cost","source_file"
"1","Acme Metalworks Plant","449 Oak Ave","Cleveland","OH","44101","Heavy manufacturing - metalworking","Manufacturing - Metalworking","Joisted Masonry","1978","2","185000","","","Central","Y","Metal","7","7893000","2517000","3691000","14101000","","3","2","292.5","3.4","","","","","","","","acme_industrial_sov"
"2","Acme Assembly Facility","3917 Third Ave","Akron","OH","44304","Assembly plant - automotive parts","Manufacturing - Assembly","Non-Combustible","1995","1","120000","","","Central","Y","Built-Up","7","11632000","3511000","3679000","18822000","","3","2","275.9","4.3","","","","","","","","acme_industrial_sov"
"3","Acme Distribution Warehouse","1901 Industrial Blvd","Pittsburgh","PA","15201","Warehouse & distribution","Warehouse - General","Masonry Non-Combustible","2002","1","95000","","","Central","Y","Metal","9","7441000","3240000","1396000","12077000","","3","2","262.1","4.2","","","","","","","","acme_industrial_sov"
"1","Atlantic Seafood Processing - Gloucester","9714 Harbor Dr","Gloucester","MA","01930","Seafood processing & cold storage facility","Food Processing - Seafood","Joisted Masonry","1988","1","79260","Y","Wet","Central","Y","Modified Bitumen","13","7754000","3083000","1279000","12116000","A","2","2","1.9","2.3","","","","","","","","atlantic_seafood_sov"
"2","Atlantic Seafood Cold Storage - New Bedford","1747 Highway 1","New Bedford","MA","02740","Seafood processing & cold storage facility","Food Processing - Seafood","Joisted Masonry","1982","3","84322","Y","Wet","Central","Y","Modified Bitumen","12","7850000","2080000","3248000","13178000","A","3","2","2.2","1.5","","","","","","","","atlantic_seafood_sov"
"3","Atlantic Seafood Packaging - Plymouth","4806 Second St","Plymouth","MA","02360","Seafood processing & cold storage facility","Food Processing - Seafood","Joisted Masonry","1995","3","35350","Y","Wet","Central","Y","Metal","25","7122000","3134000","867000","11123000","A","2","2","2.3","2.5","","","","","","","","atlantic_seafood_sov"
"4","Atlantic Seafood Distribution - Provincetown","2968 Innovation Dr","Provincetown","MA","02657","Seafood processing & cold storage facility","Food Processing - Seafood","Joisted Masonry","2000","1","84502","Y","Wet","Central","Y","Built-Up","25","7961000","3128000","2494000","13583000","B","2","2","2.8","4.6","","","","","","","","atlantic_seafood_sov"
"1","Beacon Light Industrial #1","6221 Innovation Dr","Edison","NJ","08817","Light industrial / flex space","Industrial - Light Manufacturing","Non-Combustible","2005","1","55000","Y","Dry","Central","Y","Single Ply Membrane","10","3750000","1197000","2090000","7037000","X","4","2","41.2","3.8","","","","","","","","beacon_light_sov"
"2","Beacon Light Industrial #2","1938 Oak Ave","Piscataway","NJ","08854","Light industrial / flex space","Industrial - Light Manufacturing","Masonry Non-Combustible","2008","1","72000","Y","Wet","Central","Y","Metal","5","4415000","1749000","1464000","7628000","B","3","2","47.1","4.3","","","","","","","","beacon_light_sov"
"3","Beacon Light Industrial #3","8108 Park Ave","South Brunswick","NJ","08852","Light industrial / flex space","Industrial - Light Manufacturing","Non-Combustible","2001","2","48000","Y","Wet","Central","Y","Metal","13","6294000","2167000","1559000","10020000","C","3","2","40.1","4.6","","","","","","","","beacon_light_sov"
"4","Beacon Light Industrial #4","5149 Industrial Blvd","East Brunswick","NJ","08816","Light industrial / flex space","Industrial - Light Manufacturing","Masonry Non-Combustible","2010","1","63000","Y","Wet","Central","Y","Single Ply Membrane","7","5108000","1935000","1810000","8853000","X","4","2","38.5","2.6","","","","","","","","beacon_light_sov"
"5","Beacon Light Industrial #5","1230 Distribution Way","North Brunswick","NJ","08902","Light industrial / flex space","Industrial - Light Manufacturing","Non-Combustible","2003","1","58000","Y","Wet","Central","Y","Metal","4","3642000","1648000","1172000","6462000","C","3","2","47.7","1.1","","","","","","","","beacon_light_sov"
"1","Cascade Data Centre - East Campus","2812 Corporate Dr","Redmond","WA","98065","Data centre campus - mission critical IT infrastructure","Technology - Data Centre","Fire Resistive","2019","4","180000","Y","Pre-Action / Clean Agent","Central","Y","Single Ply Membrane","3","50716000","24431000","21065000","96212000","X","4","3","29.4","2.8","","","","","","","","cascade_tech_sov"
"2","Cascade Data Centre - West Campus","3933 Terminal Blvd","Tukwila","WA","98347","Data centre campus - mission critical IT infrastructure","Technology - Data Centre","Fire Resistive","2020","3","145000","Y","Pre-Action / Clean Agent","Central","Y","Single Ply Membrane","3","51350000","22419000","10019000","83788000","X","4","3","17.4","3.8","","","","","","","","cascade_tech_sov"
