source_file,policy_year,num_claims,total_incurred,loss_ratio
RS_acme_industrial_2026,2021,0,0,0
RS_acme_industrial_2026,2022,0,0,0
RS_acme_industrial_2026,2023,1,200000,0.83
RS_acme_industrial_2026,2024,1,85000,0.35
RS_acme_industrial_2026,2025,0,0,0
RS_acme_industrial_2026,Large Loss Detail,,,
RS_acme_industrial_2026,"$200K water main burst (2023) -- inventory loss in Building 2.
$85K electrical fire (2024) -- shop floor, caught early by night watchman.",,,
RS_acme_industrial_2026,Loss Development Notes,,,
RS_acme_industrial_2026,Both claims closed and fully developed. No subrogation recovery expected on water main.,,,
RS_apex_precision_2025,2020,1,17627,0.22
RS_apex_precision_2025,2021,1,127302,1.62
RS_apex_precision_2025,2022,0,0,0
RS_apex_precision_2025,2023,0,0,0
RS_apex_precision_2025,2024,1,234508,2.98
RS_apex_precision_2025,Large Loss Detail,,,
RS_apex_precision_2025,No individual loss exceeds reporting threshold.,,,
RS_apex_precision_2025,Loss Development Notes,,,
RS_apex_precision_2025,All claims fully developed. No adverse development.,,,
RS_arctic_cold_2025,2020,0,0,0
RS_arctic_cold_2025,2021,0,0,0
RS_arctic_cold_2025,2022,2,416966,1.62
RS_arctic_cold_2025,2023,1,185248,0.72
RS_arctic_cold_2025,2024,1,347181,1.35
RS_arctic_cold_2025,Large Loss Detail,,,
RS_arctic_cold_2025,No individual loss exceeds reporting threshold.,,,
RS_arctic_cold_2025,Loss Development Notes,,,
RS_arctic_cold_2025,All claims fully developed. No adverse development.,,,
RS_atlantic_seafood_2026,2021,0,0,0
RS_atlantic_seafood_2026,2022,0,0,0
RS_atlantic_seafood_2026,2023,0,0,0
RS_atlantic_seafood_2026,2024,0,0,0
RS_atlantic_seafood_2026,2025,1,2100000,5.6
RS_atlantic_seafood_2026,Large Loss Detail,,,
RS_atlantic_seafood_2026,"$2.1M refrigeration system failure (2025) -- catastrophic compressor failure, complete cold storage inventory loss ($1.8M) plus equipment and BI. $150K reserved.",,,
RS_atlantic_seafood_2026,Loss Development Notes,,,
RS_atlantic_seafood_2026,"2025 large loss: $1.95M paid, $150K reserve for final BI settlement. Expected to close Q3 2026.",,,
RS_bayou_chemical_2024,2019,3,514166,1.58
RS_bayou_chemical_2024,2020,1,248857,0.76
RS_bayou_chemical_2024,2021,2,324783,1
RS_bayou_chemical_2024,2022,0,0,0
RS_bayou_chemical_2024,2023,0,0,0
RS_bayou_chemical_2024,Large Loss Detail,,,
RS_bayou_chemical_2024,No individual loss exceeds reporting threshold.,,,
RS_bayou_chemical_2024,Loss Development Notes,,,
RS_bayou_chemical_2024,All claims fully developed. No adverse development.,,,
RS_blackwood_timber_2024,2019,2,192710,6.21
RS_blackwood_timber_2024,2020,1,29845,0.96
RS_blackwood_timber_2024,2021,2,140937,4.54
RS_blackwood_timber_2024,2022,1,117335,3.78
RS_blackwood_timber_2024,2023,0,0,0
RS_blackwood_timber_2024,Large Loss Detail,,,
RS_blackwood_timber_2024,No individual loss exceeds reporting threshold.,,,
RS_blackwood_timber_2024,Loss Development Notes,,,
RS_blackwood_timber_2024,All claims fully developed. No adverse development.,,,
RS_bluestone_warehouse_2025,2020,1,61235,0.25
RS_bluestone_warehouse_2025,2021,0,0,0
RS_bluestone_warehouse_2025,2022,0,0,0
RS_bluestone_warehouse_2025,2023,0,0,0
RS_bluestone_warehouse_2025,2024,0,0,0
RS_bluestone_warehouse_2025,Large Loss Detail,,,
RS_bluestone_warehouse_2025,No individual loss exceeds reporting threshold.,,,
RS_bluestone_warehouse_2025,Loss Development Notes,,,
RS_bluestone_warehouse_2025,All claims fully developed. No adverse development.,,,
RS_brighton_health_2025,2020,2,107114,0.21
RS_brighton_health_2025,2021,1,188389,0.37
RS_brighton_health_2025,2022,0,0,0
RS_brighton_health_2025,2023,0,0,0
RS_brighton_health_2025,2024,1,63587,0.12
RS_brighton_health_2025,Large Loss Detail,,,
RS_brighton_health_2025,No individual loss exceeds reporting threshold.,,,
RS_brighton_health_2025,Loss Development Notes,,,
RS_brighton_health_2025,All claims fully developed. No adverse development.,,,
RS_cardinal_health_2024,2019,0,0,0
RS_cardinal_health_2024,2020,0,0,0
RS_cardinal_health_2024,2021,0,0,0
RS_cardinal_health_2024,2022,1,95246,0.17
RS_cardinal_health_2024,2023,0,0,0
RS_cardinal_health_2024,Large Loss Detail,,,
RS_cardinal_health_2024,No individual loss exceeds reporting threshold.,,,
RS_cardinal_health_2024,Loss Development Notes,,,
RS_cardinal_health_2024,All claims fully developed. No adverse development.,,,
RS_cascade_tech_2026,2021,0,0,0
RS_cascade_tech_2026,2022,0,0,0
RS_cascade_tech_2026,2023,0,0,0
RS_cascade_tech_2026,2024,0,0,0
RS_cascade_tech_2026,2025,0,0,0
RS_cascade_tech_2026,Large Loss Detail,,,
RS_cascade_tech_2026,None.,,,
RS_cascade_tech_2026,Loss Development Notes,,,
RS_cascade_tech_2026,No losses. Facilities operational since 2019/2020.,,,
RS_central_warehouse_2026,2021,0,0,0
RS_central_warehouse_2026,2022,0,0,0
RS_central_warehouse_2026,2023,0,0,0
RS_central_warehouse_2026,2024,2,367851,0.9
RS_central_warehouse_2026,2025,1,261052,0.64
RS_central_warehouse_2026,Large Loss Detail,,,
RS_central_warehouse_2026,No individual loss exceeds reporting threshold.,,,
RS_central_warehouse_2026,Loss Development Notes,,,
RS_central_warehouse_2026,All claims fully developed. No adverse development.,,,
RS_coastal_marina_2025,2020,1,345921,0.65
RS_coastal_marina_2025,2021,2,223725,0.42
RS_coastal_marina_2025,2022,0,0,0
RS_coastal_marina_2025,2023,2,253789,0.47
RS_coastal_marina_2025,2024,0,0,0
RS_coastal_marina_2025,Large Loss Detail,,,
RS_coastal_marina_2025,No individual loss exceeds reporting threshold.,,,
RS_coastal_marina_2025,Loss Development Notes,,,
RS_coastal_marina_2025,All claims fully developed. No adverse development.,,,
RS_continental_logistics_2025,2020,0,0,0
RS_continental_logistics_2025,2021,1,228104,0.53
RS_continental_logistics_2025,2022,0,0,0
RS_continental_logistics_2025,2023,0,0,0
RS_continental_logistics_2025,2024,1,208291,0.49
RS_continental_logistics_2025,Large Loss Detail,,,
RS_continental_logistics_2025,No individual loss exceeds reporting threshold.,,,
RS_continental_logistics_2025,Loss Development Notes,,,
RS_continental_logistics_2025,All claims fully developed. No adverse development.,,,
RS_crown_properties_2025,2020,0,0,0
RS_crown_properties_2025,2021,0,0,0
RS_crown_properties_2025,2022,0,0,0
RS_crown_properties_2025,2023,0,0,0
RS_crown_properties_2025,2024,0,0,0
RS_crown_properties_2025,Large Loss Detail,,,
RS_crown_properties_2025,No individual loss exceeds reporting threshold.,,,
RS_crown_properties_2025,Loss Development Notes,,,
RS_crown_properties_2025,All claims fully developed. No adverse development.,,,
RS_eastcoast_food_2026,2021,0,0,0
RS_eastcoast_food_2026,2022,0,0,0
RS_eastcoast_food_2026,2023,0,0,0
RS_eastcoast_food_2026,2024,1,217395,0.86
RS_eastcoast_food_2026,2025,3,900492,3.57
RS_eastcoast_food_2026,Large Loss Detail,,,
RS_eastcoast_food_2026,No individual loss exceeds reporting threshold.,,,
RS_eastcoast_food_2026,Loss Development Notes,,,
RS_eastcoast_food_2026,All claims fully developed. No adverse development.,,,
RS_eastside_plastics_2025,2020,0,0,0
RS_eastside_plastics_2025,2021,1,24663,0.48
RS_eastside_plastics_2025,2022,0,0,0
RS_eastside_plastics_2025,2023,3,428240,8.41
RS_eastside_plastics_2025,2024,0,0,0
RS_eastside_plastics_2025,Large Loss Detail,,,
RS_eastside_plastics_2025,No individual loss exceeds reporting threshold.,,,
RS_eastside_plastics_2025,Loss Development Notes,,,
RS_eastside_plastics_2025,All claims fully developed. No adverse development.,,,
RS_grandview_hotel_2025,2020,1,234118,0.71
RS_grandview_hotel_2025,2021,0,0,0
RS_grandview_hotel_2025,2022,1,314088,0.96
RS_grandview_hotel_2025,2023,0,0,0
RS_grandview_hotel_2025,2024,0,0,0
RS_grandview_hotel_2025,Large Loss Detail,,,
RS_grandview_hotel_2025,No individual loss exceeds reporting threshold.,,,
RS_grandview_hotel_2025,Loss Development Notes,,,
RS_grandview_hotel_2025,All claims fully developed. No adverse development.,,,
RS_greenfield_office_2025,2020,0,0,0
RS_greenfield_office_2025,2021,1,185014,0.39
RS_greenfield_office_2025,2022,0,0,0
RS_greenfield_office_2025,2023,0,0,0
RS_greenfield_office_2025,2024,0,0,0
RS_greenfield_office_2025,Large Loss Detail,,,
RS_greenfield_office_2025,No individual loss exceeds reporting threshold.,,,
RS_greenfield_office_2025,Loss Development Notes,,,
RS_greenfield_office_2025,All claims fully developed. No adverse development.,,,
RS_gulf_coast_energy_2026,2021,0,0,0
RS_gulf_coast_energy_2026,2022,0,0,0
RS_gulf_coast_energy_2026,2023,0,0,0
RS_gulf_coast_energy_2026,2024,1,145000,0.19
RS_gulf_coast_energy_2026,2025,0,0,0
RS_gulf_coast_energy_2026,Large Loss Detail,,,
RS_gulf_coast_energy_2026,$145K tropical storm roof/piping damage (2024) at Galveston facility. $25K reserved.,,,
RS_gulf_coast_energy_2026,Loss Development Notes,,,
RS_gulf_coast_energy_2026,"2024 storm claim: $120K paid, $25K reserve for remaining repairs. Expected to close Q2 2026.",,,
RS_harley_medical_2024,2019,0,0,0
RS_harley_medical_2024,2020,1,176859,0.63
RS_harley_medical_2024,2021,1,221411,0.79
RS_harley_medical_2024,2022,3,379017,1.35
RS_harley_medical_2024,2023,0,0,0
RS_harley_medical_2024,Large Loss Detail,,,
RS_harley_medical_2024,No individual loss exceeds reporting threshold.,,,
RS_harley_medical_2024,Loss Development Notes,,,
RS_harley_medical_2024,All claims fully developed. No adverse development.,,,
RS_heartland_foods_2025,2020,0,0,0
RS_heartland_foods_2025,2021,1,163911,1.24
RS_heartland_foods_2025,2022,0,0,0
RS_heartland_foods_2025,2023,0,0,0
RS_heartland_foods_2025,2024,0,0,0
RS_heartland_foods_2025,Large Loss Detail,,,
RS_heartland_foods_2025,No individual loss exceeds reporting threshold.,,,
