Insured Name,Broker,Effective Date,Expiry Date,Coverage Type,Total Insured Value (TIV),Number of Locations,Our Line %,Our Premium,Technical Premium,Decision,Decision Date,Underwriter,source_file
Acme Industrial Corp.,Willis (Claire Donovan),2026-05-01 00:00:00,2027-05-01 00:00:00,All-Risk Property incl. BI & Equipment Breakdown,45000000,3,1,247500,292500,Bound,2026-04-02 00:00:00,James Chen,RS_acme_industrial_2026
Apex Precision Components Ltd.,Lockton (Emily Richards),2025-02-01 00:00:00,2026-02-01 00:00:00,All-Risk Property incl. BI,22000000,1,0.5,40370,87340,Bound,2024-12-15 00:00:00,Mark Stevens,RS_apex_precision_2025
Arctic Cold Chain Logistics LLC,Howden (Helen Taylor),2025-08-01 00:00:00,2026-08-01 00:00:00,All-Risk Property incl. BI,40000000,3,0.2,53200,286400,Bound,2025-07-06 00:00:00,Mark Stevens,RS_arctic_cold_2025
Atlantic Seafood Processing Inc.,BMS Group (Andrew Patel),2026-07-01 00:00:00,2027-07-01 00:00:00,All-Risk Property incl. BI & Equipment Breakdown,50000000,4,1,375000,350000,Bound,2026-06-15 00:00:00,James Chen,RS_atlantic_seafood_2026
Bayou Chemical Processing Corp.,Guy Carpenter (Neil Armstrong),2024-10-01 00:00:00,2025-10-01 00:00:00,All-Risk Property incl. BI,75000000,2,0,0,362250,Declined,2024-08-22 00:00:00,David Kim,RS_bayou_chemical_2024
Blackwood Timber Products Ltd.,BMS Group (Andrew Patel),2024-07-01 00:00:00,2025-07-01 00:00:00,All-Risk Property incl. BI,15000000,2,0,0,34500,Declined,2024-05-28 00:00:00,David Kim,RS_blackwood_timber_2024
Bluestone Warehousing Group,Gallagher (Rachel Foster),2025-08-01 00:00:00,2026-08-01 00:00:00,All-Risk Property incl. BI,35000000,4,0,0,272650,NTU,2025-06-03 00:00:00,Rebecca Hartley,RS_bluestone_warehouse_2025
Brighton Health System,Marsh (James Whitfield),2025-11-01 00:00:00,2026-11-01 00:00:00,All-Risk Property incl. BI,150000000,8,0.2,100500,568500,Bound,2025-09-03 00:00:00,Mark Stevens,RS_brighton_health_2025
Cardinal Healthcare Properties LP,Miller Insurance (Lucy Ward),2024-07-01 00:00:00,2025-07-01 00:00:00,All-Risk Property incl. BI,95000000,5,0,0,641250,NTU,2024-05-12 00:00:00,James Chen,RS_cardinal_health_2024
Cascade Technology Campus LLC,Gallagher (Rachel Foster),2026-05-01 00:00:00,2027-05-01 00:00:00,All-Risk Property incl. BI & Equipment Breakdown,180000000,2,1,630000,684000,Bound,2026-04-10 00:00:00,James Chen,RS_cascade_tech_2026
Central Warehouse Solutions Ltd.,Aon (David Morris),2026-03-01 00:00:00,2027-03-01 00:00:00,All-Risk Property incl. BI,52000000,3,0.5,210600,455000,Bound,2026-01-01 00:00:00,Mark Stevens,RS_central_warehouse_2026
Coastal Marina & Resort Group,Guy Carpenter (Richard Hale),2025-10-01 00:00:00,2026-10-01 00:00:00,All-Risk Property incl. BI,180000000,6,0,0,594000,Declined,2025-09-11 00:00:00,David Kim,RS_coastal_marina_2025
Continental Logistics Partners,Aon (David Morris),2025-05-01 00:00:00,2026-05-01 00:00:00,All-Risk Property incl. BI,90000000,5,0.5,210150,475200,Bound,2025-03-20 00:00:00,Sarah Mitchell,RS_continental_logistics_2025
Crown Properties (UK) Ltd.,McGill (Fiona Campbell),2025-05-01 00:00:00,2026-05-01 00:00:00,All-Risk Property incl. BI,220000000,15,0.2,102520,569800,Bound,2025-04-04 00:00:00,Rebecca Hartley,RS_crown_properties_2025
Eastcoast Food Services Inc.,Miller Insurance (Lucy Ward),2026-06-01 00:00:00,2027-06-01 00:00:00,All-Risk Property incl. BI,38000000,2,0.5,126730,280060,Bound,2026-04-24 00:00:00,David Kim,RS_eastcoast_food_2026
Eastside Plastics Manufacturing,Marsh (Sarah Price),2025-02-01 00:00:00,2026-02-01 00:00:00,All-Risk Property incl. BI,20000000,1,0,0,56600,Declined,2024-12-24 00:00:00,David Kim,RS_eastside_plastics_2025
Grandview Hotel Corporation,Lockton (Amanda Foster),2025-02-01 00:00:00,2026-02-01 00:00:00,All-Risk Property incl. BI,140000000,5,0.15,46620,364000,Referred,2024-12-06 00:00:00,Simon Thornton,RS_grandview_hotel_2025
Greenfield Office Park LLC,Aon (Lisa Chang),2025-06-01 00:00:00,2026-06-01 00:00:00,All-Risk Property incl. BI,60000000,4,0,0,529200,NTU,2025-04-28 00:00:00,Sarah Mitchell,RS_greenfield_office_2025
Gulf Coast Energy Storage Inc.,McGill (Thomas Keane),2026-06-01 00:00:00,2027-06-01 00:00:00,All-Risk Property incl. BI & Windstorm,95000000,5,1,712500,760000,Referred,2026-05-05 00:00:00,James Chen,RS_gulf_coast_energy_2026
Harley Medical Group Plc,Lockton (Jason Brooks),2024-10-01 00:00:00,2025-10-01 00:00:00,All-Risk Property incl. BI,45000000,3,0.15,42998,312750,Bound,2024-09-07 00:00:00,Sarah Mitchell,RS_harley_medical_2024
Heartland Foods Processing Inc.,Howden (Helen Taylor),2025-03-01 00:00:00,2026-03-01 00:00:00,All-Risk Property incl. BI,30000000,2,0,0,147300,NTU,2025-01-27 00:00:00,Simon Thornton,RS_heartland_foods_2025
Heritage Hotels International,Lockton (Emily Richards),2026-07-01 00:00:00,2027-07-01 00:00:00,"All-Risk Property incl. BI, Windstorm",200000000,12,0,0,1700000,Declined,2026-03-28 00:00:00,James Chen,RS_heritage_hotels_2026
Highstreet Retail Group Plc,Aon (Lisa Chang),2024-09-01 00:00:00,2025-09-01 00:00:00,All-Risk Property incl. BI,38000000,10,0.2,38076,193040,Bound,2024-08-15 00:00:00,Mark Stevens,RS_highstreet_retail_2024
Island Resort Collection Ltd.,McGill (Thomas Keane),2024-06-01 00:00:00,2025-06-01 00:00:00,All-Risk Property incl. BI,250000000,5,0,0,1045000,Declined,2024-05-10 00:00:00,James Chen,RS_island_resort_2024
Legacy Textiles Inc.,Aon (Paul Henderson),2025-03-01 00:00:00,2026-03-01 00:00:00,All-Risk Property incl. BI,25000000,2,0,0,73000,Declined,2025-01-10 00:00:00,James Chen,RS_legacy_textiles_2025
Meridian Mixed-Use Developments Ltd.,Gallagher (Kevin O'Brien),2024-02-01 00:00:00,2025-02-01 00:00:00,All-Risk Property incl. BI,65000000,4,0.25,63212,251550,Bound,2023-12-13 00:00:00,Simon Thornton,RS_meridian_mixed_2024
Metro Parking Structures Inc.,Willis (Emily Watson),2025-03-01 00:00:00,2026-03-01 00:00:00,All-Risk Property incl. BI,120000000,8,0,0,877200,Declined,2025-01-28 00:00:00,Rebecca Hartley,RS_metro_parking_2025
Midwest Agricultural Cooperative,Miller Insurance (Charlotte Webb),2026-04-01 00:00:00,2027-04-01 00:00:00,All-Risk Property,35000000,22,1,210000,217000,Bound,2026-03-20 00:00:00,Rebecca Hartley,RS_midwest_ag_2026
National Print & Publishing Group,Gallagher (Rachel Foster),2024-09-01 00:00:00,2025-09-01 00:00:00,All-Risk Property incl. BI,32000000,2,1,199040,218560,Bound,2024-07-14 00:00:00,Sarah Mitchell,RS_national_print_2024
Nexus Data Systems Inc.,Lockton (Amanda Foster),2025-09-01 00:00:00,2026-09-01 00:00:00,All-Risk Property incl. BI,250000000,3,0.15,85125,635000,Referred,2025-08-09 00:00:00,Sarah Mitchell,RS_nexus_data_2025
Northern Manufacturing Ltd.,Marsh (James Whitfield),2026-06-01 00:00:00,2027-06-01 00:00:00,All-Risk Property,28000000,1,1,123200,123200,Bound,2026-05-10 00:00:00,James Chen,RS_northern_mfg_2026
Novus Pharmaceutical Inc.,Howden (Ian Russell),2025-01-01 00:00:00,2026-01-01 00:00:00,All-Risk Property incl. BI,85000000,3,0.5,383350,763300,Bound,2024-11-23 00:00:00,James Chen,RS_novus_pharma_2025
Oak Ridge Business Centers LLC,Ed Broking (Natalie Ford),2025-05-01 00:00:00,2026-05-01 00:00:00,All-Risk Property incl. BI,25000000,3,0,0,193000,NTU,2025-03-16 00:00:00,Rebecca Hartley,RS_oak_ridge_2025
Pacific Ports & Terminals Inc.,Aon (Paul Henderson),2025-05-01 00:00:00,2026-05-01 00:00:00,All-Risk Property incl. BI,200000000,3,0.2,100400,562000,Referred,2025-04-08 00:00:00,David Kim,RS_pacific_ports_2025
Pacific Retail Group Inc.,Aon (Paul Henderson),2026-04-01 00:00:00,2027-04-01 00:00:00,All-Risk Property incl. BI,120000000,47,1,504000,540000,Bound,2026-03-15 00:00:00,James Chen,RS_pacific_retail_2026
Parkview Hotels & Resorts Inc.,Miller Insurance (Lucy Ward),2025-03-01 00:00:00,2026-03-01 00:00:00,All-Risk Property incl. BI,55000000,4,1,262350,257400,Bound,2025-01-18 00:00:00,Rebecca Hartley,RS_parkview_hotels_2025
Phoenix Recycling Services LLC,Aon (Lisa Chang),2025-08-01 00:00:00,2026-08-01 00:00:00,All-Risk Property incl. BI,18000000,3,0,0,145620,Declined,2025-06-16 00:00:00,Simon Thornton,RS_phoenix_recycling_2025
Pioneer Manufacturing Corp.,Gallagher (Kevin O'Brien),2025-09-01 00:00:00,2026-09-01 00:00:00,All-Risk Property incl. BI,35000000,2,0,0,177450,NTU,2025-08-08 00:00:00,Simon Thornton,RS_pioneer_manufacturing_2025
Precision Electronics Inc.,Marsh (Sarah Price),2024-06-01 00:00:00,2025-06-01 00:00:00,All-Risk Property incl. BI,55000000,2,1,282150,297550,Bound,2024-05-18 00:00:00,Sarah Mitchell,RS_precision_electronics_2024
Rapidfire Logistics Ltd.,McGill (Derek Stone),2025-12-01 00:00:00,2026-12-01 00:00:00,All-Risk Property incl. BI,48000000,3,0,0,308640,Declined,2025-10-25 00:00:00,Mark Stevens,RS_rapidfire_logistics_2025
SecureStore Holdings Corp.,McGill (Thomas Keane),2025-02-01 00:00:00,2026-02-01 00:00:00,All-Risk Property incl. BI,28000000,12,1,131040,148120,Bound,2024-12-31 00:00:00,Sarah Mitchell,RS_securestore_2025
Sterling Automotive Group,BMS Group (Marcus Wright),2025-07-01 00:00:00,2026-07-01 00:00:00,All-Risk Property incl. BI,42000000,6,0.5,154560,331380,Bound,2025-05-04 00:00:00,Mark Stevens,RS_sterling_auto_2025
Summit Office Partners LP,Ed Broking (Laura Simpson),2026-06-01 00:00:00,2027-06-01 00:00:00,All-Risk Property,75000000,6,0.25,187500,187500,Bound,2026-05-20 00:00:00,Rebecca Hartley,RS_summit_office_2026
Summit Retail Holdings LLC,BMS Group (Samantha Lee),2024-01-01 00:00:00,2025-01-01 00:00:00,All-Risk Property incl. BI,45000000,8,0,0,210600,NTU,2023-11-16 00:00:00,Mark Stevens,RS_summit_retail_2024
Sunshine Cannabis Cultivation Inc.,Guy Carpenter (Neil Armstrong),2025-07-01 00:00:00,2026-07-01 00:00:00,All-Risk Property incl. BI,30000000,4,0,0,131400,Declined,2025-05-09 00:00:00,Mark Stevens,RS_sunshine_cannabis_2025
Thames Valley Technology Park Ltd.,McGill (Fiona Campbell),2024-11-01 00:00:00,2025-11-01 00:00:00,All-Risk Property incl. BI,50000000,3,0,0,275000,NTU,2024-09-26 00:00:00,Sarah Mitchell,RS_thames_valley_tech_2024
Tristate Industrial Complex LLC,McGill (Thomas Keane),2025-07-01 00:00:00,2026-07-01 00:00:00,All-Risk Property incl. BI,110000000,4,0.15,117810,869000,Referred,2025-06-07 00:00:00,Rebecca Hartley,RS_tristate_industrial_2025
Westbrook Academy Trust,BMS Group (Marcus Wright),2024-04-01 00:00:00,2025-04-01 00:00:00,All-Risk Property incl. BI,75000000,5,0.5,127125,261750,Bound,2024-03-01 00:00:00,James Chen,RS_westbrook_academy_2024
Western Distribution Services LLC,Howden (Michael Cross),2026-08-01 00:00:00,2027-08-01 00:00:00,All-Risk Property incl. BI,65000000,4,1,468000,468000,Bound,2026-07-15 00:00:00,James Chen,RS_western_dist_2026
Westminster Property Holdings Plc,Miller Insurance (Charlotte Webb),2025-04-01 00:00:00,2026-04-01 00:00:00,All-Risk Property incl. BI,300000000,12,0.2,310800,1638000,Referred,2025-02-16 00:00:00,David Kim,RS_westminster_mixed_2025
